year	month	award	level	new.renew	awardee
2015	Apr	Bronze department awards	Bronze	New	"Bangor University, School of Sport, Health and Exercise Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Birkbeck College, Department of Biological Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Cardiff University, School of Computer Science and Informatics"
2015	Apr	Bronze department awards	Bronze	New	"Cardiff University, School of Healthcare Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Durham University, School of Biological and Biomedical Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Durham University, School of Engineering and Computing Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Heriot-Watt University, School of Mathematical and Computer Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Imperial College London, Department of Bioengineering"
2015	Apr	Bronze department awards	Bronze	New	"Keele University, School of Physical & Geographical Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Kings College London, Centre of Human & Aerospace Physiological Sciences (CHAPS)"
2015	Apr	Bronze department awards	Bronze	New	"Newcastle University, School of Biomedical Sciences"
2015	Apr	Bronze department awards	Bronze	New	"Newcastle University, Electrical and Electronic Engineering"
2015	Apr	Bronze department awards	Bronze	New	"Newcastle University, School of Chemistry"
2015	Apr	Bronze department awards	Bronze	New	"Newcastle University, School of Chemical Engineering and Advanced Materials"
2015	Apr	Bronze department awards	Bronze	New	"Newcastle University, School of Marine Science and Technology"
2015	Apr	Bronze department awards	Bronze	New	"Queen Margaret University, Edinburgh, Division of DNBSPPR (Dietetics, Nutrition, Biological Sciences, Physiotherapy, Podiatry and Radiography)"
2015	Apr	Bronze department awards	Bronze	New	"Ulster University, School of Nursing"
2015	Apr	Bronze department awards	Bronze	New	"University College London, Division of Biosciences"
2015	Apr	Bronze department awards	Bronze	New	"University College London, Science and Technology Studies"
2015	Apr	Bronze department awards	Bronze	New	"University of Bath, Department of Architecture and Civil Engineering"
2015	Apr	Bronze department awards	Bronze	New	"University of Bath, Department of Computer Science"
2015	Apr	Bronze department awards	Bronze	New	"University of Bath, Department of Chemistry"
2015	Apr	Bronze department awards	Bronze	New	"University of Bath, Department of Physics"
2015	Apr	Bronze department awards	Bronze	New	"University of Brighton, School of Pharmacy and Biomolecular Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Bristol, School of Earth Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Bristol, School of Veterinary Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Cambridge, Department of Plant Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Cambridge, Computer Laboratory"
2015	Apr	Bronze department awards	Bronze	New	"University of Dundee, School of Engineering, Physics and Mathematics"
2015	Apr	Bronze department awards	Bronze	New	"University of Dundee, School of Computing"
2015	Apr	Bronze department awards	Bronze	New	"University of East Anglia, School of Computing Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of East Anglia, School of Mathematics"
2015	Apr	Bronze department awards	Bronze	New	"University of Essex, Department of Health and Human Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Exeter, Department of Physics and Astronomy"
2015	Apr	Bronze department awards	Bronze	New	"University of Exeter, Department of Engineering"
2015	Apr	Bronze department awards	Bronze	New	"University of Glasgow, School of Computing Science"
2015	Apr	Bronze department awards	Bronze	New	"University of Glasgow, School of veterinary medicine"
2015	Apr	Bronze department awards	Bronze	New	"University of Kent, School of Psychology"
2015	Apr	Bronze department awards	Bronze	New	"University of Leeds, School of Dentistry"
2015	Apr	Bronze department awards	Bronze	New	"University of Leeds, School of Psychology"
2015	Apr	Bronze department awards	Bronze	New	"University of Leicester, School of Medicine"
2015	Apr	Bronze department awards	Bronze	New	"University of Lincoln, School of Sport and Exercise Science"
2015	Apr	Bronze department awards	Bronze	New	"University of Lincoln, School of Computer Science"
2015	Apr	Bronze department awards	Bronze	New	"University of Oxford, Department of Zoology"
2015	Apr	Bronze department awards	Bronze	New	"University of Portsmouth, School of Biological Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Portsmouth, Department of Psychology"
2015	Apr	Bronze department awards	Bronze	New	"University of Sheffield, Mechanical Engineering"
2015	Apr	Bronze department awards	Bronze	New	"University of St Andrews, School of Biology"
2015	Apr	Bronze department awards	Bronze	New	"University of St Andrews, School of Medicine"
2015	Apr	Bronze department awards	Bronze	New	"University of Stirling, School of Health Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Stirling, Division of Biological and Environmental Sciences"
2015	Apr	Bronze department awards	Bronze	New	"University of Strathclyde, Department of Design, Manufacture and Engineering Management"
2015	Apr	Bronze department awards	Bronze	Renewal	"Imperial College London, Department of Life Sciences"
2015	Apr	Bronze department awards	Bronze	Renewal	"Queen Mary, University of London, School of Engineering and Materials Science"
2015	Apr	Bronze department awards	Bronze	Renewal	"Swansea University, College of Human and Health Sciences"
2015	Apr	Bronze department awards	Bronze	Renewal	"University of Bristol, School of Chemistry"
2015	Apr	Bronze department awards	Bronze	Renewal	"University of Manchester, School of Medicine"
2015	Apr	Bronze department awards	Bronze	Renewal	"University of Manchester, School of Nursing, Midwifery and Social Work"
2015	Apr	Bronze department awards	Bronze	Renewal	"University of Oxford, Department of Oncology"
2015	Apr	Bronze department awards	Bronze	Renewal	"University of Oxford, Nuffield Department of Surgical Sciences (NDS)"
2015	Apr	Bronze department awards	Bronze	Renewal	"University of Oxford, Radcliffe Department of Medicine"
2015	Apr	Bronze institution award	Bronze	New	Bournemouth University
2015	Apr	Bronze institution award	Bronze	New	British Antarctic Survey
2015	Apr	Bronze institution award	Bronze	New	Edge Hill University
2015	Apr	Bronze institution award	Bronze	New	United Kingdom Atomic Energy Authority
2015	Apr	Bronze institution award	Bronze	New	University of Huddersfield
2015	Apr	Bronze institution award	Bronze	New	University of Hull
2015	Apr	Bronze institution award	Bronze	New	University of Northumbria at Newcastle
2015	Apr	Bronze institution award	Bronze	Renewal	University of York
2015	Apr	Gold department	Gold	Renewal	"University of York, Department of Chemistry"
