Bronze department awards	Bronze department renewals>	Bronze institution awards>	Bronze institution renewal>	Gold department renewals>	Silver department awards>	Silver department renewals>	Silver institution awards>
"Bangor University, School of Sport, Health and Exercise Sciences"	"Imperial College London, Department of Life Sciences"	Bournemouth University	University of York	"University of York, Department of Chemistry"	"King's College London, Division of Immunology, Infection and Inflammatory Diseases"	"Imperial College London, Department of Physics"	University College London
"Birkbeck College, Department of Biological Sciences"	"Queen Mary, University of London, School of Engineering and Materials Science"	British Antarctic Survey			"Newcastle University, Institute of Genetic Medicine"	"Queen's University Belfast, School of Geography, Archaeology and Palaeoecology"	University of Edinburgh
"Cardiff University, School of Computer Science and Informatics"	"Swansea University, College of Human and Health Sciences"	Edge Hill University			"University College London, UCL Institute of Cardiovascular Science"	"Royal Holloway, Department of Physics"	
"Cardiff University, School of Healthcare Sciences"	"University of Bristol, School of Chemistry"	United Kingdom Atomic Energy Authority			"University College London, Institute of Neurology"	"University College London, Department of Biochemical Engineering"	
"Durham University, School of Biological and Biomedical Sciences"	"University of Manchester, School of Medicine"	University of Huddersfield			"University of Bristol, School of Clinical Sciences"	"University of Manchester, School of Chemical Engineering and Analytical Science"	
"Durham University, School of Engineering and Computing Sciences"	"University of Manchester, School of Nursing, Midwifery and Social Work"	University of Hull			"University of Glasgow, Institute of Health and Wellbeing"	"University of Manchester, Faculty of Life Sciences"	
"Heriot-Watt University, School of Mathematical and Computer Sciences"	"University of Oxford, Department of Oncology"	University of Northumbria at Newcastle			"University of Liverpool, Institute of Psychology, Health & Society"		
"Imperial College London, Department of Bioengineering"	"University of Oxford, Nuffield Department of Surgical Sciences (NDS)"				"University of Manchester, School of Dentistry"		
"Keele University, School of Physical & Geographical Sciences"	"University of Oxford, Radcliffe Department of Medicine"				"University of Oxford, Department of Biochemistry"		
"Kings College London, Centre of Human & Aerospace Physiological Sciences (CHAPS)"					"University of Oxford, Department of Chemistry"		
"Newcastle University, School of Biomedical Sciences"					"University of Oxford, Nuffield Department of Clinical Neurosciences"		
"Newcastle University, Electrical and Electronic Engineering"					"University of Oxford, Department of Experimental Psychology"		
"Newcastle University, School of Chemistry"					"University of Oxford, Department of Paediatrics"		
"Newcastle University, School of Chemical Engineering and Advanced Materials"					"University of Oxford, Department of Physiology, Anatomy and Genetics (DPAG)"		
"Newcastle University, School of Marine Science and Technology"					"University of Oxford, Nuffield Department of Population Health"		
"Queen Margaret University, Edinburgh, Division of DNBSPPR (Dietetics, Nutrition, Biological Sciences, Physiotherapy, Podiatry and Radiography)"					"University of Oxford, Nuffield Department of Obstetrics and Gynaecology"		
"Ulster University, School of Nursing"					"University of Oxford, Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences"		
"University College London, Division of Biosciences"					"University of Oxford, Sir William Dunn School of Pathology"		
"University College London, Science and Technology Studies"					"University of Southampton, Faculty of Medicine"		
"University of Bath, Department of Architecture and Civil Engineering"							
"University of Bath, Department of Computer Science"							
"University of Bath, Department of Chemistry"							
"University of Bath, Department of Physics"							
"University of Brighton, School of Pharmacy and Biomolecular Sciences"							
"University of Bristol, School of Earth Sciences"							
"University of Bristol, School of Veterinary Sciences"							
"University of Cambridge, Department of Plant Sciences"							
"University of Cambridge, Computer Laboratory"							
"University of Dundee, School of Engineering, Physics and Mathematics"							
"University of Dundee, School of Computing"							
"University of East Anglia, School of Computing Sciences"							
"University of East Anglia, School of Mathematics"							
"University of Essex, Department of Health and Human Sciences"							
"University of Exeter, Department of Physics and Astronomy"							
"University of Exeter, Department of Engineering"							
"University of Glasgow, School of Computing Science"							
"University of Glasgow, School of veterinary medicine"							
"University of Kent, School of Psychology"							
"University of Leeds, School of Dentistry"							
"University of Leeds, School of Psychology"							
"University of Leicester, School of Medicine"							
"University of Lincoln, School of Sport and Exercise Science"							
"University of Lincoln, School of Computer Science"							
"University of Oxford, Department of Zoology"							
"University of Portsmouth, School of Biological Sciences"							
"University of Portsmouth, Department of Psychology"							
"University of Sheffield, Mechanical Engineering"							
"University of St Andrews, School of Biology"							
"University of St Andrews, School of Medicine"							
"University of Stirling, School of Health Sciences"							
"University of Stirling, Division of Biological and Environmental Sciences"							
"University of Strathclyde, Department of Design, Manufacture and Engineering Management"							
