Type,New_Renew,Level,Year,Month,org
Dept,New,Bronze,2015,Apr,"Bangor University, School of Sport, Health and Exercise Sciences"
Dept,New,Bronze,2015,Apr,"Birkbeck College, Department of Biological Sciences"
Dept,New,Bronze,2015,Apr,"Cardiff University, School of Computer Science and Informatics"
Dept,New,Bronze,2015,Apr,"Cardiff University, School of Healthcare Sciences"
Dept,New,Bronze,2015,Apr,"Durham University, School of Biological and Biomedical Sciences"
Dept,New,Bronze,2015,Apr,"Durham University, School of Engineering and Computing Sciences"
Dept,New,Bronze,2015,Apr,"Heriot-Watt University, School of Mathematical and Computer Sciences"
Dept,New,Bronze,2015,Apr,"Imperial College London, Department of Bioengineering"
Dept,New,Bronze,2015,Apr,"Keele University, School of Physical & Geographical Sciences"
Dept,New,Bronze,2015,Apr,"King’s College London, Centre of Human & Aerospace Physiological Sciences (CHAPS)"
Dept,New,Bronze,2015,Apr,"Newcastle University, Electrical and Electronic Engineering"
Dept,New,Bronze,2015,Apr,"Newcastle University, School of Biomedical Sciences"
Dept,New,Bronze,2015,Apr,"Newcastle University, School of Chemical Engineering and Advanced Materials"
Dept,New,Bronze,2015,Apr,"Newcastle University, School of Chemistry"
Dept,New,Bronze,2015,Apr,"Newcastle University, School of Marine Science and Technology"
Dept,New,Bronze,2015,Apr,"Queen Margaret University, Edinburgh, Division of DNBSPPR (Dietetics, Nutrition, Biological Sciences, Physiotherapy, Podiatry and Radiography)"
Dept,New,Bronze,2015,Apr,"Ulster University, School of Nursing"
Dept,New,Bronze,2015,Apr,"University College London, Division of Biosciences"
Dept,New,Bronze,2015,Apr,"University College London, Science and Technology Studies"
Dept,New,Bronze,2015,Apr,"University of Bath, Department of Architecture and Civil Engineering"
Dept,New,Bronze,2015,Apr,"University of Bath, Department of Chemistry"
Dept,New,Bronze,2015,Apr,"University of Bath, Department of Computer Science"
Dept,New,Bronze,2015,Apr,"University of Bath, Department of Physics"
Dept,New,Bronze,2015,Apr,"University of Brighton, School of Pharmacy and Biomolecular Sciences"
Dept,New,Bronze,2015,Apr,"University of Bristol, School of Earth Sciences"
Dept,New,Bronze,2015,Apr,"University of Bristol, School of Veterinary Sciences"
Dept,New,Bronze,2015,Apr,"University of Cambridge, Computer Laboratory"
Dept,New,Bronze,2015,Apr,"University of Cambridge, Department of Plant Sciences"
Dept,New,Bronze,2015,Apr,"University of Dundee, School of Computing"
Dept,New,Bronze,2015,Apr,"University of Dundee, School of Engineering, Physics and Mathematics"
Dept,New,Bronze,2015,Apr,"University of East Anglia, School of Computing Sciences"
Dept,New,Bronze,2015,Apr,"University of East Anglia, School of Mathematics"
Dept,New,Bronze,2015,Apr,"University of Essex, Department of Health and Human Sciences"
Dept,New,Bronze,2015,Apr,"University of Exeter, Department of Engineering"
Dept,New,Bronze,2015,Apr,"University of Exeter, Department of Physics and Astronomy"
Dept,New,Bronze,2015,Apr,"University of Glasgow, School of Computing Science"
Dept,New,Bronze,2015,Apr,"University of Glasgow, School of veterinary medicine"
Dept,New,Bronze,2015,Apr,"University of Kent, School of Psychology"
Dept,New,Bronze,2015,Apr,"University of Leeds, School of Dentistry"
