year,title,men,women,percentF,figure,link,general.source
2014,Prof,1193,254,18,Figure 15,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,http://www.medschools.ac.uk/AboutUs/Projects/clinicalacademia/Pages/Promoting-Clinical-Academic-Careers.aspx
2014,Reader/SL,918,447,33,Figure 15,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,"Clinical academics by age, gender and academic grade (headcount)"
2014,Lecturer,357,257,42,Figure 15,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,
2013,Prof,"1,176",235,17,Figure 21,http://www.medschools.ac.uk/AboutUs/Projects/Documents/2014-Clinical-Academic-Survey-Medicine-July-2013-data.pdf,
2013,Reader/SL,956,452,32,Figure 21,http://www.medschools.ac.uk/AboutUs/Projects/Documents/2014-Clinical-Academic-Survey-Medicine-July-2013-data.pdf,
2013,Lecturer,368,266,42,Figure 21,http://www.medschools.ac.uk/AboutUs/Projects/Documents/2014-Clinical-Academic-Survey-Medicine-July-2013-data.pdf,
2012,Prof,"1,159",219,16,Figure 19,http://www.medschools.ac.uk/AboutUs/Projects/Documents/Clin_Acad_Staff_Survey_Med_Schools_July_2012.pdf,
2012,Reader/SL,"1,001",470,32,Figure 19,http://www.medschools.ac.uk/AboutUs/Projects/Documents/Clin_Acad_Staff_Survey_Med_Schools_July_2012.pdf,
2012,Lecturer,348,270,44,Figure 19,http://www.medschools.ac.uk/AboutUs/Projects/Documents/Clin_Acad_Staff_Survey_Med_Schools_July_2012.pdf,
2011,Prof,1162,207,15,,,
2011,Reader/SL,1036,447,30,,,
2011,Lecturer,343,251,42,,,
2010,Prof,1171,198,14,Figure 14,,
2010,Reader/SL,1052,400,28,Figure 14,,
2010,Lecturer,344,251,42,Figure 14,,
2009,Prof,1175,197,14,,,
2009,Reader/SL,1038,419,29,,,
2009,Lecturer,318,211,40,,,
2004,Prof,1037,129,11,Figure 15,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,
2004,Reader/SL,1212,376,24,Figure 15,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,
2004,Lecturer,317,175,36,Figure 15,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,http://www.medschools.ac.uk/SiteCollectionDocuments/MSC-survey-2015-web.pdf,
